Company,total_complaints,monetary_relief_rate,any_relief_rate
"EQUIFAX, INC.",24010,0.0,51.3
"TRANSUNION INTERMEDIATE HOLDINGS, INC.",23649,0.0,79.4
Experian Information Solutions Inc.,22205,0.0,13.4
"Block, Inc.",1553,0.1,0.1
CAPITAL ONE FINANCIAL CORPORATION,1481,5.9,18.0
JPMORGAN CHASE & CO.,1284,8.3,18.0
WELLS FARGO & COMPANY,1194,8.1,17.4
"BANK OF AMERICA, NATIONAL ASSOCIATION",1096,28.6,36.5
"CITIBANK, N.A.",962,21.3,45.6
"Early Warning Services, LLC",701,0.0,0.0
SYNCHRONY FINANCIAL,691,14.9,27.4
NAVY FEDERAL CREDIT UNION,640,6.1,13.9
Resurgent Capital Services L.P.,596,0.0,22.5
AMERICAN EXPRESS COMPANY,535,19.8,30.5
"Paypal Holdings, Inc",449,15.6,32.5
"Bread Financial Holdings, Inc.",445,31.5,55.7
Chime Financial Inc,412,7.5,11.7
ENCORE CAPITAL GROUP INC.,410,0.2,49.0
DISCOVER BANK,403,3.5,27.3
"Portfolio Recovery Associates, LLC",399,0.0,34.6
CL Holdings LLC,361,0.0,0.0
MOHELA,353,1.7,8.2
U.S. BANCORP,342,13.2,34.2
TRUIST FINANCIAL CORPORATION,315,8.9,14.3
LEXISNEXIS,306,0.0,27.8
"Nelnet, Inc.",264,0.0,0.0
ALLY FINANCIAL INC.,257,4.7,15.6
GOLDMAN SACHS BANK USA,257,19.5,36.2
TD BANK US HOLDING COMPANY,242,18.6,38.8
"CCS Financial Services, Inc.",237,0.0,17.3
"CBC Companies, Inc.",218,0.0,57.3
BARCLAYS BANK DELAWARE,215,8.8,9.3
"SANTANDER HOLDINGS USA, INC.",207,0.5,24.6
PNC Bank N.A.,205,11.2,13.2
"Affirm Holdings, Inc",188,0.0,0.0
"I.C. System, Inc.",183,0.0,8.7
"Shellpoint Partners, LLC",181,1.7,3.3
"Maximus Federal Services, Inc.",177,0.6,0.6
UNITED SERVICES AUTOMOBILE ASSOCIATION,174,8.0,10.3
CREDIT ACCEPTANCE CORPORATION,168,4.8,6.5
Mr. Cooper Group Inc.,165,1.2,1.2
"National Credit Systems,Inc.",163,0.0,0.0
TRANSWORLD SYSTEMS INC,160,0.0,0.0
"Kriya Capital, LLC",147,0.0,100.0
"CLGF Holdco 1, LLC",134,6.7,23.9
"Westlake Services, LLC",133,0.0,0.0
"Navient Solutions, LLC.",130,0.0,1.5
EdFinancial Services,126,0.0,0.0
"CITIZENS FINANCIAL GROUP, INC.",122,13.9,13.9
Self Financial Inc.,118,0.0,0.0
OneMain Finance Corporation,117,1.7,6.8
"Fidelity National Information Services, Inc. (FNIS)",115,0.0,0.0
"Exeter Finance, LLC.",106,0.0,0.0
"Spring Oaks Capital, LLC",101,0.0,30.7
"SOFI TECHNOLOGIES, INC.",101,4.0,4.0
"Credit Karma, LLC",99,11.1,17.2
"Rowland Avenue Management, Inc. A/KA Columbia Debt Recovery, LLC d/b/a Genesis",96,0.0,9.4
FIFTH THIRD FINANCIAL CORPORATION,94,5.3,10.6
Freedom Mortgage Company,93,0.0,0.0
"CAINE & WEINER COMPANY, INC.",93,0.0,0.0
Bridgecrest Acceptance Corporation,89,0.0,0.0
"National Credit Adjusters, LLC",83,0.0,0.0
"HW Holding, Inc",82,0.0,20.7
T.S. Holdings,79,0.0,22.8
Atlanticus Services Corporation,78,26.9,41.0
"SELECT PORTFOLIO SERVICING, INC.",77,0.0,0.0
Netspend Corporation,76,0.0,0.0
"HUNTINGTON NATIONAL BANK, THE",76,19.7,36.8
TOYOTA MOTOR CREDIT CORPORATION,74,2.7,5.4
"General Motors Financial Company, Inc.",73,4.1,16.4
M&T BANK CORPORATION,73,2.7,16.4
Ocwen Financial Corporation,72,0.0,1.4
HYUNDAI CAPITAL AMERICA,70,0.0,0.0
ROBINHOOD MARKETS INC.,69,0.0,0.0
REGIONS FINANCIAL CORPORATION,68,14.7,20.6
"Coinbase, Inc.",67,19.4,19.4
"BMO Bank, N.A.",67,11.9,25.4
PENTAGON FEDERAL CREDIT UNION,66,10.6,24.2
Comerica,65,26.2,55.4
"UPGRADE, INC.",64,4.7,6.2
Radius Global Solutions LLC,63,0.0,33.3
NCB Management Services Inc.,63,0.0,0.0
Kikoff Inc.,62,0.0,1.6
Incomm Holdings Inc.,62,0.0,0.0
"PENNYMAC LOAN SERVICES, LLC.",58,3.4,15.5
"Southwest Credit Systems, L.P.",57,0.0,42.1
"SUNRISE CREDIT SERVICES, INC",57,0.0,0.0
"ProCollect, Inc.",57,0.0,0.0
KEYCORP,57,21.1,28.1
"Avant Holding Company, Inc.",57,0.0,0.0
"Aldous & Associates, PLLC",57,0.0,0.0
SLM CORPORATION,56,0.0,12.5
Synovus Bank,55,1.8,10.9
"Amsher Collection Services, Inc.",54,0.0,0.0
AMERICAN HONDA FINANCE CORP,53,0.0,3.8
"FAIR COLLECTIONS & OUTSOURCING, INC.",52,0.0,0.0
"LoanCare, LLC",51,0.0,0.0
"W&A Intermediate Co., LLC",51,0.0,33.3
NISSAN MOTOR ACCEPTANCE COMPANY LLC,51,0.0,0.0
AES/PHEAA,50,0.0,14.0
Global Lending Services LLC,50,0.0,4.0
